dataset,predictor,predictor_params,seed,n_train,ndcg,ndcg_1mut,spearman,spearman_1mut,topk,topk_mean,topk_mean_1mut
BLAT_ECOLX_Ranganathan2015-2500,gesm+onehot,,0,240,0.8618,0.8618,0.8157,0.8157,96,-0.0876,-0.0876
BLAT_ECOLX_Ranganathan2015-2500,gesm+onehot,,0,240,0.8442,0.8442,0.7926,0.7926,96,-0.0706,-0.0706
BLAT_ECOLX_Ranganathan2015-2500,gesm+onehot,,1,240,0.7702,0.7702,0.7989,0.7989,96,-0.1596,-0.1596
BLAT_ECOLX_Ranganathan2015-2500,gesm+onehot,,1,240,0.7891,0.7891,0.8108,0.8108,96,-0.1347,-0.1347
BLAT_ECOLX_Ranganathan2015-2500,gesm+onehot,,2,240,0.8639,0.8639,0.8042,0.8042,96,-0.0879,-0.0879
BLAT_ECOLX_Ranganathan2015-2500,gesm+onehot,,2,240,0.8546,0.8546,0.7946,0.7946,96,-0.0683,-0.0683
BLAT_ECOLX_Ranganathan2015-2500,gesm+onehot,,3,240,0.8086,0.8086,0.7765,0.7765,96,-0.1395,-0.1395
BLAT_ECOLX_Ranganathan2015-2500,gesm+onehot,,3,240,0.8466,0.8466,0.7912,0.7912,96,-0.0794,-0.0794
BLAT_ECOLX_Ranganathan2015-2500,gesm+onehot,,4,240,0.8572,0.8572,0.8045,0.8045,96,-0.0830,-0.0830
BLAT_ECOLX_Ranganathan2015-2500,gesm+onehot,,4,240,0.7872,0.7872,0.7722,0.7722,96,-0.1712,-0.1712
BLAT_ECOLX_Ranganathan2015-2500,gesm+onehot,,5,240,0.8371,0.8371,0.7805,0.7805,96,-0.0641,-0.0641
BLAT_ECOLX_Ranganathan2015-2500,gesm+onehot,,5,240,0.8259,0.8259,0.7783,0.7783,96,-0.0824,-0.0824
BLAT_ECOLX_Ranganathan2015-2500,gesm+onehot,,6,240,0.8123,0.8123,0.8141,0.8141,96,-0.1054,-0.1054
BLAT_ECOLX_Ranganathan2015-2500,gesm+onehot,,6,240,0.7229,0.7229,0.7518,0.7518,96,-0.2106,-0.2106
BLAT_ECOLX_Ranganathan2015-2500,gesm+onehot,,7,240,0.8305,0.8305,0.7851,0.7851,96,-0.0701,-0.0701
BLAT_ECOLX_Ranganathan2015-2500,gesm+onehot,,7,240,0.7558,0.7558,0.7732,0.7732,96,-0.0897,-0.0897
BLAT_ECOLX_Ranganathan2015-2500,gesm+onehot,,8,240,0.8273,0.8273,0.8102,0.8102,96,-0.0496,-0.0496
BLAT_ECOLX_Ranganathan2015-2500,gesm+onehot,,8,240,0.8416,0.8416,0.8140,0.8140,96,-0.1022,-0.1022
BLAT_ECOLX_Ranganathan2015-2500,gesm+onehot,,9,240,0.8435,0.8435,0.7999,0.7999,96,-0.0730,-0.0730
BLAT_ECOLX_Ranganathan2015-2500,gesm+onehot,,9,240,0.7979,0.7979,0.7797,0.7797,96,-0.1404,-0.1404
BLAT_ECOLX_Ranganathan2015-2500,gesm+onehot,,10,240,0.8234,0.8234,0.8064,0.8064,96,-0.1924,-0.1924
BLAT_ECOLX_Ranganathan2015-2500,gesm+onehot,,10,240,0.8105,0.8105,0.8022,0.8022,96,-0.1714,-0.1714
BLAT_ECOLX_Ranganathan2015-2500,gesm+onehot,,11,240,0.8553,0.8553,0.8047,0.8047,96,-0.1034,-0.1034
BLAT_ECOLX_Ranganathan2015-2500,gesm+onehot,,11,240,0.8551,0.8551,0.7979,0.7979,96,-0.0732,-0.0732
BLAT_ECOLX_Ranganathan2015-2500,gesm+onehot,,12,240,0.8571,0.8571,0.8118,0.8118,96,-0.0896,-0.0896
BLAT_ECOLX_Ranganathan2015-2500,gesm+onehot,,12,240,0.8294,0.8294,0.8026,0.8026,96,-0.1389,-0.1389
BLAT_ECOLX_Ranganathan2015-2500,gesm+onehot,,13,240,0.8557,0.8557,0.8009,0.8009,96,-0.1035,-0.1035
BLAT_ECOLX_Ranganathan2015-2500,gesm+onehot,,13,240,0.8719,0.8719,0.8161,0.8161,96,-0.0348,-0.0348
BLAT_ECOLX_Ranganathan2015-2500,gesm+onehot,,14,240,0.8629,0.8629,0.8023,0.8023,96,-0.0798,-0.0798
BLAT_ECOLX_Ranganathan2015-2500,gesm+onehot,,14,240,0.8627,0.8627,0.8026,0.8026,96,-0.0780,-0.0780
BLAT_ECOLX_Ranganathan2015-2500,gesm+onehot,,15,240,0.8328,0.8328,0.7864,0.7864,96,-0.1374,-0.1374
